Office,Office链接,Name,Party
U.S. House California District 14,https://ballotpedia.org/California's_14th_Congressional_District,Eric Swalwell,Democratic
U.S. House California District 15,https://ballotpedia.org/California's_15th_Congressional_District,Kevin Mullin,Democratic
U.S. House California District 16,https://ballotpedia.org/California's_16th_Congressional_District,Anna Eshoo,Democratic
U.S. House California District 17,https://ballotpedia.org/California's_17th_Congressional_District,Ro Khanna,Democratic
U.S. House California District 18,https://ballotpedia.org/California's_18th_Congressional_District,Zoe Lofgren,Democratic
U.S. House California District 19,https://ballotpedia.org/California's_19th_Congressional_District,Jimmy Panetta,Democratic
U.S. House California District 20,https://ballotpedia.org/California's_20th_Congressional_District,Kevin McCarthy,Republican
U.S. House California District 21,https://ballotpedia.org/California's_21st_Congressional_District,Jim Costa,Democratic
U.S. House California District 22,https://ballotpedia.org/California's_22nd_Congressional_District,David G. Valadao,Republican
U.S. House California District 23,https://ballotpedia.org/California's_23rd_Congressional_District,Jay Obernolte,Republican
U.S. House California District 24,https://ballotpedia.org/California's_24th_Congressional_District,Salud Carbajal,Democratic
U.S. House California District 25,https://ballotpedia.org/California's_25th_Congressional_District,Raul Ruiz,Democratic
U.S. House California District 26,https://ballotpedia.org/California's_26th_Congressional_District,Julia Brownley,Democratic
U.S. House California District 27,https://ballotpedia.org/California's_27th_Congressional_District,Mike Garcia,Republican
U.S. House California District 28,https://ballotpedia.org/California's_28th_Congressional_District,Judy Chu,Democratic
U.S. House California District 29,https://ballotpedia.org/California's_29th_Congressional_District,Tony Cárdenas,Democratic
U.S. House California District 30,https://ballotpedia.org/California's_30th_Congressional_District,Adam Schiff,Democratic
U.S. House California District 31,https://ballotpedia.org/California's_31st_Congressional_District,Grace Napolitano,Democratic
U.S. House California District 32,https://ballotpedia.org/California's_32nd_Congressional_District,Brad Sherman,Democratic
U.S. House California District 33,https://ballotpedia.org/California's_33rd_Congressional_District,Pete Aguilar,Democratic
U.S. House California District 34,https://ballotpedia.org/California's_34th_Congressional_District,Jimmy Gomez,Democratic
U.S. House California District 35,https://ballotpedia.org/California's_35th_Congressional_District,Norma Torres,Democratic
U.S. House California District 36,https://ballotpedia.org/California's_36th_Congressional_District,Ted Lieu,Democratic
U.S. House California District 37,https://ballotpedia.org/California's_37th_Congressional_District,Sydney Kamlager,Democratic
U.S. House California District 38,https://ballotpedia.org/California's_38th_Congressional_District,Linda Sánchez,Democratic
U.S. House California District 39,https://ballotpedia.org/California's_39th_Congressional_District,Mark Takano,Democratic
U.S. House California District 40,https://ballotpedia.org/California's_40th_Congressional_District,Young Kim,Republican
U.S. House California District 41,https://ballotpedia.org/California's_41st_Congressional_District,Ken Calvert,Republican
U.S. House California District 42,https://ballotpedia.org/California's_42nd_Congressional_District,Robert Garcia,Democratic
U.S. House California District 43,https://ballotpedia.org/California's_43rd_Congressional_District,Maxine Waters,Democratic
U.S. House California District 44,https://ballotpedia.org/California's_44th_Congressional_District,Nanette Barragán,Democratic
U.S. House California District 45,https://ballotpedia.org/California's_45th_Congressional_District,Michelle Steel,Republican
U.S. House California District 46,https://ballotpedia.org/California's_46th_Congressional_District,Lou Correa,Democratic
U.S. House California District 47,https://ballotpedia.org/California's_47th_Congressional_District,Katie Porter,Democratic
U.S. House California District 48,https://ballotpedia.org/California's_48th_Congressional_District,Darrell Issa,Republican
U.S. House California District 49,https://ballotpedia.org/California's_49th_Congressional_District,Mike Levin,Democratic
U.S. House California District 50,https://ballotpedia.org/California's_50th_Congressional_District,Scott Peters,Democratic
U.S. House California District 51,https://ballotpedia.org/California's_51st_Congressional_District,Sara Jacobs,Democratic
U.S. House California District 52,https://ballotpedia.org/California's_52nd_Congressional_District,Juan Vargas,Democratic
U.S. House Colorado District 1,https://ballotpedia.org/Colorado's_1st_Congressional_District,Diana DeGette,Democratic
U.S. House Colorado District 2,https://ballotpedia.org/Colorado's_2nd_Congressional_District,Joe Neguse,Democratic
U.S. House Colorado District 3,https://ballotpedia.org/Colorado's_3rd_Congressional_District,Lauren Boebert,Republican
U.S. House Colorado District 4,https://ballotpedia.org/Colorado's_4th_Congressional_District,Ken Buck,Republican
U.S. House Colorado District 5,https://ballotpedia.org/Colorado's_5th_Congressional_District,Doug Lamborn,Republican
U.S. House Colorado District 6,https://ballotpedia.org/Colorado's_6th_Congressional_District,Jason Crow,Democratic
U.S. House Colorado District 7,https://ballotpedia.org/Colorado's_7th_Congressional_District,Brittany Pettersen,Democratic
U.S. House Colorado District 8,https://ballotpedia.org/Colorado's_8th_Congressional_District,Yadira Caraveo,Democratic
U.S. House Connecticut District 1,https://ballotpedia.org/Connecticut's_1st_Congressional_District,John Larson,Democratic
U.S. House Connecticut District 2,https://ballotpedia.org/Connecticut's_2nd_Congressional_District,Joe Courtney,Democratic
U.S. House Connecticut District 3,https://ballotpedia.org/Connecticut's_3rd_Congressional_District,Rosa L. DeLauro,Democratic
U.S. House Connecticut District 4,https://ballotpedia.org/Connecticut's_4th_Congressional_District,Jim Himes,Democratic
U.S. House Connecticut District 5,https://ballotpedia.org/Connecticut's_5th_Congressional_District,Jahana Hayes,Democratic
U.S. House Delaware At-large District,https://ballotpedia.org/Delaware's_At-Large_Congressional_District,Lisa Blunt Rochester,Democratic
U.S. House Florida District 1,https://ballotpedia.org/Florida's_1st_Congressional_District,Matt Gaetz,Republican
U.S. House Florida District 2,https://ballotpedia.org/Florida's_2nd_Congressional_District,Neal Dunn,Republican
U.S. House Florida District 3,https://ballotpedia.org/Florida's_3rd_Congressional_District,Kat Cammack,Republican
U.S. House Florida District 4,https://ballotpedia.org/Florida's_4th_Congressional_District,Aaron Bean,Republican
U.S. House Florida District 5,https://ballotpedia.org/Florida's_5th_Congressional_District,John Rutherford,Republican
U.S. House Florida District 6,https://ballotpedia.org/Florida's_6th_Congressional_District,Michael Waltz,Republican
U.S. House Florida District 7,https://ballotpedia.org/Florida's_7th_Congressional_District,Cory Mills,Republican
U.S. House Florida District 8,https://ballotpedia.org/Florida's_8th_Congressional_District,Bill Posey,Republican
U.S. House Florida District 9,https://ballotpedia.org/Florida's_9th_Congressional_District,Darren Soto,Democratic
U.S. House Florida District 10,https://ballotpedia.org/Florida's_10th_Congressional_District,Maxwell Alejandro Frost,Democratic
U.S. House Florida District 11,https://ballotpedia.org/Florida's_11th_Congressional_District,Daniel Webster,Republican
U.S. House Florida District 12,https://ballotpedia.org/Florida's_12th_Congressional_District,Gus M. Bilirakis,Republican
U.S. House Florida District 13,https://ballotpedia.org/Florida's_13th_Congressional_District,Anna Paulina Luna,Republican
U.S. House Florida District 14,https://ballotpedia.org/Florida's_14th_Congressional_District,Kathy Castor,Democratic
U.S. House Florida District 15,https://ballotpedia.org/Florida's_15th_Congressional_District,Laurel Lee,Republican
U.S. House Florida District 16,https://ballotpedia.org/Florida's_16th_Congressional_District,Vern Buchanan,Republican
U.S. House Florida District 17,https://ballotpedia.org/Florida's_17th_Congressional_District,Greg Steube,Republican
U.S. House Florida District 18,https://ballotpedia.org/Florida's_18th_Congressional_District,Scott Franklin,Republican
U.S. House Florida District 19,https://ballotpedia.org/Florida's_19th_Congressional_District,Byron Donalds,Republican
U.S. House Florida District 20,https://ballotpedia.org/Florida's_20th_Congressional_District,Sheila Cherfilus-McCormick,Democratic
U.S. House Florida District 21,https://ballotpedia.org/Florida's_21st_Congressional_District,Brian Mast,Republican
U.S. House Florida District 22,https://ballotpedia.org/Florida's_22nd_Congressional_District,Lois Frankel,Democratic
U.S. House Florida District 23,https://ballotpedia.org/Florida's_23rd_Congressional_District,Jared Evan Moskowitz,Democratic
U.S. House Florida District 24,https://ballotpedia.org/Florida's_24th_Congressional_District,Frederica S. Wilson,Democratic
U.S. House Florida District 25,https://ballotpedia.org/Florida's_25th_Congressional_District,Debbie Wasserman Schultz,Democratic
U.S. House Florida District 26,https://ballotpedia.org/Florida's_26th_Congressional_District,Mario Diaz-Balart,Republican
U.S. House Florida District 27,https://ballotpedia.org/Florida's_27th_Congressional_District,Maria Elvira Salazar,Republican
U.S. House Florida District 28,https://ballotpedia.org/Florida's_28th_Congressional_District,Carlos Gimenez,Republican
U.S. House Georgia District 1,https://ballotpedia.org/Georgia's_1st_Congressional_District,Earl Carter,Republican
U.S. House Georgia District 2,https://ballotpedia.org/Georgia's_2nd_Congressional_District,Sanford Bishop Jr.,Democratic
U.S. House Georgia District 3,https://ballotpedia.org/Georgia's_3rd_Congressional_District,Drew Ferguson,Republican
U.S. House Georgia District 4,https://ballotpedia.org/Georgia's_4th_Congressional_District,Hank Johnson,Democratic
U.S. House Georgia District 5,https://ballotpedia.org/Georgia's_5th_Congressional_District,Nikema Williams,Democratic
U.S. House Georgia District 6,https://ballotpedia.org/Georgia's_6th_Congressional_District,Rich McCormick,Republican
U.S. House Georgia District 7,https://ballotpedia.org/Georgia's_7th_Congressional_District,Lucy McBath,Democratic
U.S. House Georgia District 8,https://ballotpedia.org/Georgia's_8th_Congressional_District,Austin Scott,Republican
U.S. House Georgia District 9,https://ballotpedia.org/Georgia's_9th_Congressional_District,Andrew Clyde,Republican
U.S. House Georgia District 10,https://ballotpedia.org/Georgia's_10th_Congressional_District,Mike Collins,Republican
U.S. House Georgia District 11,https://ballotpedia.org/Georgia's_11th_Congressional_District,Barry Loudermilk,Republican
U.S. House Georgia District 12,https://ballotpedia.org/Georgia's_12th_Congressional_District,Rick Allen,Republican
U.S. House Georgia District 13,https://ballotpedia.org/Georgia's_13th_Congressional_District,David Scott,Democratic
U.S. House Georgia District 14,https://ballotpedia.org/Georgia's_14th_Congressional_District,Marjorie Taylor Greene,Republican
U.S. House Guam At-large District,https://ballotpedia.org/Guam%27s_At-Large_Congressional_District,James Moylan,Republican
U.S. House Hawaii District 1,https://ballotpedia.org/Hawaii's_1st_Congressional_District,Ed Case,Democratic
U.S. House Hawaii District 2,https://ballotpedia.org/Hawaii's_2nd_Congressional_District,Jill Tokuda,Democratic
U.S. House Idaho District 1,https://ballotpedia.org/Idaho's_1st_Congressional_District,Russ Fulcher,Republican
U.S. House Idaho District 2,https://ballotpedia.org/Idaho's_2nd_Congressional_District,Michael K. Simpson,Republican
U.S. House Illinois District 1,https://ballotpedia.org/Illinois'_1st_Congressional_District,Jonathan Jackson,Democratic
U.S. House Illinois District 2,https://ballotpedia.org/Illinois'_2nd_Congressional_District,Robin Kelly,Democratic
U.S. House Illinois District 3,https://ballotpedia.org/Illinois'_3rd_Congressional_District,Delia Ramirez,Democratic
U.S. House Illinois District 4,https://ballotpedia.org/Illinois'_4th_Congressional_District,Jesus Garcia,Democratic
U.S. House Illinois District 5,https://ballotpedia.org/Illinois'_5th_Congressional_District,Mike Quigley,Democratic
U.S. House Illinois District 6,https://ballotpedia.org/Illinois'_6th_Congressional_District,Sean Casten,Democratic
U.S. House Illinois District 7,https://ballotpedia.org/Illinois'_7th_Congressional_District,Danny K. Davis,Democratic
U.S. House Illinois District 8,https://ballotpedia.org/Illinois'_8th_Congressional_District,Raja Krishnamoorthi,Democratic
U.S. House Illinois District 9,https://ballotpedia.org/Illinois'_9th_Congressional_District,Jan Schakowsky,Democratic
U.S. House Illinois District 10,https://ballotpedia.org/Illinois'_10th_Congressional_District,Brad Schneider,Democratic
U.S. House Illinois District 11,https://ballotpedia.org/Illinois'_11th_Congressional_District,Bill Foster,Democratic
U.S. House Illinois District 12,https://ballotpedia.org/Illinois'_12th_Congressional_District,Mike Bost,Republican
U.S. House Illinois District 13,https://ballotpedia.org/Illinois'_13th_Congressional_District,Nikki Budzinski,Democratic
U.S. House Illinois District 14,https://ballotpedia.org/Illinois'_14th_Congressional_District,Lauren Underwood,Democratic
U.S. House Illinois District 15,https://ballotpedia.org/Illinois'_15th_Congressional_District,Mary Miller,Republican
U.S. House Illinois District 16,https://ballotpedia.org/Illinois'_16th_Congressional_District,Darin LaHood,Republican
U.S. House Illinois District 17,https://ballotpedia.org/Illinois'_17th_Congressional_District,Eric Sorensen,Democratic
U.S. House Indiana District 1,https://ballotpedia.org/Indiana's_1st_Congressional_District,Frank Mrvan,Democratic
U.S. House Indiana District 2,https://ballotpedia.org/Indiana's_2nd_Congressional_District,Rudy Yakym,Republican
U.S. House Indiana District 3,https://ballotpedia.org/Indiana's_3rd_Congressional_District,Jim Banks,Republican
U.S. House Indiana District 4,https://ballotpedia.org/Indiana's_4th_Congressional_District,Jim Baird,Republican
U.S. House Indiana District 5,https://ballotpedia.org/Indiana's_5th_Congressional_District,Victoria Spartz,Republican
U.S. House Indiana District 6,https://ballotpedia.org/Indiana's_6th_Congressional_District,Greg Pence,Republican
U.S. House Indiana District 7,https://ballotpedia.org/Indiana's_7th_Congressional_District,André Carson,Democratic
U.S. House Indiana District 8,https://ballotpedia.org/Indiana's_8th_Congressional_District,Larry Bucshon,Republican
U.S. House Indiana District 9,https://ballotpedia.org/Indiana's_9th_Congressional_District,Erin Houchin,Republican
U.S. House Iowa District 1,https://ballotpedia.org/Iowa's_1st_Congressional_District,Mariannette Miller-Meeks,Republican
U.S. House Iowa District 2,https://ballotpedia.org/Iowa's_2nd_Congressional_District,Ashley Hinson,Republican
U.S. House Iowa District 3,https://ballotpedia.org/Iowa's_3rd_Congressional_District,Zach Nunn,Republican
U.S. House Iowa District 4,https://ballotpedia.org/Iowa's_4th_Congressional_District,Randy Feenstra,Republican
U.S. House Kansas District 1,https://ballotpedia.org/Kansas'_1st_Congressional_District,Tracey Mann,Republican
U.S. House Kansas District 2,https://ballotpedia.org/Kansas'_2nd_Congressional_District,Jacob LaTurner,Republican
U.S. House Kansas District 3,https://ballotpedia.org/Kansas'_3rd_Congressional_District,Sharice Davids,Democratic
U.S. House Kansas District 4,https://ballotpedia.org/Kansas'_4th_Congressional_District,Ron Estes,Republican
U.S. House Kentucky District 1,https://ballotpedia.org/Kentucky's_1st_Congressional_District,James Comer Jr.,Republican
U.S. House Kentucky District 2,https://ballotpedia.org/Kentucky's_2nd_Congressional_District,Brett Guthrie,Republican
U.S. House Kentucky District 3,https://ballotpedia.org/Kentucky's_3rd_Congressional_District,Morgan McGarvey,Democratic
U.S. House Kentucky District 4,https://ballotpedia.org/Kentucky's_4th_Congressional_District,Thomas Massie,Republican
U.S. House Kentucky District 5,https://ballotpedia.org/Kentucky's_5th_Congressional_District,Hal Rogers,Republican
U.S. House Kentucky District 6,https://ballotpedia.org/Kentucky's_6th_Congressional_District,Andy Barr,Republican
U.S. House Louisiana District 1,https://ballotpedia.org/Louisiana's_1st_Congressional_District,Steve Scalise,Republican
U.S. House Louisiana District 2,https://ballotpedia.org/Louisiana's_2nd_Congressional_District,Troy Carter,Democratic
U.S. House Louisiana District 3,https://ballotpedia.org/Louisiana's_3rd_Congressional_District,Clay Higgins,Republican
U.S. House Louisiana District 4,https://ballotpedia.org/Louisiana's_4th_Congressional_District,Mike Johnson,Republican
U.S. House Louisiana District 5,https://ballotpedia.org/Louisiana's_5th_Congressional_District,Julia Letlow,Republican
U.S. House Louisiana District 6,https://ballotpedia.org/Louisiana's_6th_Congressional_District,Garret Graves,Republican
U.S. House Maine District 1,https://ballotpedia.org/Maine's_1st_Congressional_District,Chellie Pingree,Democratic
U.S. House Maine District 2,https://ballotpedia.org/Maine's_2nd_Congressional_District,Jared Golden,Democratic
U.S. House Maryland District 1,https://ballotpedia.org/Maryland's_1st_Congressional_District,Andrew Harris,Republican
U.S. House Maryland District 2,https://ballotpedia.org/Maryland's_2nd_Congressional_District,Dutch Ruppersberger,Democratic
U.S. House Maryland District 3,https://ballotpedia.org/Maryland's_3rd_Congressional_District,John Sarbanes,Democratic
U.S. House Maryland District 4,https://ballotpedia.org/Maryland's_4th_Congressional_District,Glenn Ivey,Democratic
U.S. House Maryland District 5,https://ballotpedia.org/Maryland's_5th_Congressional_District,Steny Hoyer,Democratic
U.S. House Maryland District 6,https://ballotpedia.org/Maryland's_6th_Congressional_District,David Trone,Democratic
U.S. House Maryland District 7,https://ballotpedia.org/Maryland's_7th_Congressional_District,Kweisi Mfume,Democratic
U.S. House Maryland District 8,https://ballotpedia.org/Maryland's_8th_Congressional_District,Jamie Raskin,Democratic
U.S. House Massachusetts District 1,https://ballotpedia.org/Massachusetts'_1st_Congressional_District,Richard Neal,Democratic
U.S. House Massachusetts District 2,https://ballotpedia.org/Massachusetts'_2nd_Congressional_District,Jim McGovern,Democratic
U.S. House Massachusetts District 3,https://ballotpedia.org/Massachusetts'_3rd_Congressional_District,Lori Trahan,Democratic
U.S. House Massachusetts District 4,https://ballotpedia.org/Massachusetts'_4th_Congressional_District,Jake Auchincloss,Democratic
U.S. House Massachusetts District 5,https://ballotpedia.org/Massachusetts'_5th_Congressional_District,Katherine Clark,Democratic
U.S. House Massachusetts District 6,https://ballotpedia.org/Massachusetts'_6th_Congressional_District,Seth Moulton,Democratic
U.S. House Massachusetts District 7,https://ballotpedia.org/Massachusetts'_7th_Congressional_District,Ayanna Pressley,Democratic
U.S. House Massachusetts District 8,https://ballotpedia.org/Massachusetts'_8th_Congressional_District,Stephen Lynch,Democratic
U.S. House Massachusetts District 9,https://ballotpedia.org/Massachusetts'_9th_Congressional_District,Bill Keating,Democratic
U.S. House Michigan District 1,https://ballotpedia.org/Michigan's_1st_Congressional_District,Jack Bergman,Republican
U.S. House Michigan District 2,https://ballotpedia.org/Michigan's_2nd_Congressional_District,John Moolenaar,Republican
U.S. House Michigan District 3,https://ballotpedia.org/Michigan's_3rd_Congressional_District,Hillary Scholten,Democratic
U.S. House Michigan District 4,https://ballotpedia.org/Michigan's_4th_Congressional_District,Bill Huizenga,Republican
U.S. House Michigan District 5,https://ballotpedia.org/Michigan's_5th_Congressional_District,Tim Walberg,Republican
U.S. House Michigan District 6,https://ballotpedia.org/Michigan's_6th_Congressional_District,Debbie Dingell,Democratic
U.S. House Michigan District 7,https://ballotpedia.org/Michigan's_7th_Congressional_District,Elissa Slotkin,Democratic
U.S. House Michigan District 8,https://ballotpedia.org/Michigan's_8th_Congressional_District,Dan Kildee,Democratic
U.S. House Michigan District 9,https://ballotpedia.org/Michigan's_9th_Congressional_District,Lisa McClain,Republican
U.S. House Michigan District 10,https://ballotpedia.org/Michigan's_10th_Congressional_District,John James,Republican
U.S. House Michigan District 11,https://ballotpedia.org/Michigan's_11th_Congressional_District,Haley Stevens,Democratic
U.S. House Michigan District 12,https://ballotpedia.org/Michigan's_12th_Congressional_District,Rashida Tlaib,Democratic
U.S. House Michigan District 13,https://ballotpedia.org/Michigan's_13th_Congressional_District,Shri Thanedar,Democratic
U.S. House Minnesota District 1,https://ballotpedia.org/Minnesota's_1st_Congressional_District,Brad Finstad,Republican
U.S. House Minnesota District 2,https://ballotpedia.org/Minnesota's_2nd_Congressional_District,Angie Craig,Democratic
U.S. House Minnesota District 3,https://ballotpedia.org/Minnesota's_3rd_Congressional_District,Dean Phillips,Democratic
U.S. House Minnesota District 4,https://ballotpedia.org/Minnesota's_4th_Congressional_District,Betty McCollum,Democratic
U.S. House Minnesota District 5,https://ballotpedia.org/Minnesota's_5th_Congressional_District,Ilhan Omar,Democratic
U.S. House Minnesota District 6,https://ballotpedia.org/Minnesota's_6th_Congressional_District,Tom Emmer,Republican
U.S. House Minnesota District 7,https://ballotpedia.org/Minnesota's_7th_Congressional_District,Michelle Fischbach,Republican
U.S. House Minnesota District 8,https://ballotpedia.org/Minnesota's_8th_Congressional_District,Pete Stauber,Republican
U.S. House Mississippi District 1,https://ballotpedia.org/Mississippi's_1st_Congressional_District,Trent Kelly,Republican
U.S. House Mississippi District 2,https://ballotpedia.org/Mississippi's_2nd_Congressional_District,Bennie Thompson,Democratic
U.S. House Mississippi District 3,https://ballotpedia.org/Mississippi's_3rd_Congressional_District,Michael Guest,Republican
U.S. House Mississippi District 4,https://ballotpedia.org/Mississippi's_4th_Congressional_District,Mike Ezell,Republican
U.S. House Missouri District 1,https://ballotpedia.org/Missouri's_1st_Congressional_District,Cori Bush,Democratic
U.S. House Missouri District 2,https://ballotpedia.org/Missouri's_2nd_Congressional_District,Ann Wagner,Republican
U.S. House Missouri District 3,https://ballotpedia.org/Missouri's_3rd_Congressional_District,Blaine Luetkemeyer,Republican
U.S. House Missouri District 4,https://ballotpedia.org/Missouri's_4th_Congressional_District,Mark Alford,Republican
U.S. House Missouri District 5,https://ballotpedia.org/Missouri's_5th_Congressional_District,Emanuel Cleaver,Democratic
U.S. House Missouri District 6,https://ballotpedia.org/Missouri's_6th_Congressional_District,Sam Graves,Republican
U.S. House Missouri District 7,https://ballotpedia.org/Missouri's_7th_Congressional_District,Eric Burlison,Republican
U.S. House Missouri District 8,https://ballotpedia.org/Missouri's_8th_Congressional_District,Jason Smith,Republican
U.S. House Montana District 1,https://ballotpedia.org/Montana's_1st_Congressional_District,Ryan Zinke,Republican
U.S. House Montana District 2,https://ballotpedia.org/Montana's_2nd_Congressional_District,Matt Rosendale,Republican
U.S. House Nebraska District 1,https://ballotpedia.org/Nebraska's_1st_Congressional_District,Mike Flood,Republican
U.S. House Nebraska District 2,https://ballotpedia.org/Nebraska's_2nd_Congressional_District,Don Bacon,Republican
U.S. House Nebraska District 3,https://ballotpedia.org/Nebraska's_3rd_Congressional_District,Adrian Smith,Republican
U.S. House Nevada District 1,https://ballotpedia.org/Nevada's_1st_Congressional_District,Dina Titus,Democratic
U.S. House Nevada District 2,https://ballotpedia.org/Nevada's_2nd_Congressional_District,Mark Amodei,Republican
U.S. House Nevada District 3,https://ballotpedia.org/Nevada's_3rd_Congressional_District,Susie Lee,Democratic
U.S. House Nevada District 4,https://ballotpedia.org/Nevada's_4th_Congressional_District,Steven Horsford,Democratic
U.S. House New Hampshire District 1,https://ballotpedia.org/New_Hampshire's_1st_Congressional_District,Chris Pappas,Democratic
U.S. House New Hampshire District 2,https://ballotpedia.org/New_Hampshire's_2nd_Congressional_District,Annie Kuster,Democratic
U.S. House New Jersey District 1,https://ballotpedia.org/New_Jersey's_1st_Congressional_District,Donald Norcross,Democratic
U.S. House New Jersey District 2,https://ballotpedia.org/New_Jersey's_2nd_Congressional_District,Jeff Van Drew,Republican
U.S. House New Jersey District 3,https://ballotpedia.org/New_Jersey's_3rd_Congressional_District,Andrew Kim,Democratic
U.S. House New Jersey District 4,https://ballotpedia.org/New_Jersey's_4th_Congressional_District,Chris Smith,Republican
U.S. House New Jersey District 5,https://ballotpedia.org/New_Jersey's_5th_Congressional_District,Josh Gottheimer,Democratic
U.S. House New Jersey District 6,https://ballotpedia.org/New_Jersey's_6th_Congressional_District,Frank Pallone Jr.,Democratic
U.S. House New Jersey District 7,https://ballotpedia.org/New_Jersey's_7th_Congressional_District,Thomas Kean Jr.,Republican
U.S. House New Jersey District 8,https://ballotpedia.org/New_Jersey's_8th_Congressional_District,Robert Menendez Jr.,Democratic
U.S. House New Jersey District 9,https://ballotpedia.org/New_Jersey's_9th_Congressional_District,Bill Pascrell,Democratic
U.S. House New Jersey District 10,https://ballotpedia.org/New_Jersey's_10th_Congressional_District,Donald Payne Jr.,Democratic
U.S. House New Jersey District 11,https://ballotpedia.org/New_Jersey's_11th_Congressional_District,Mikie Sherrill,Democratic
U.S. House New Jersey District 12,https://ballotpedia.org/New_Jersey's_12th_Congressional_District,Bonnie Watson Coleman,Democratic
U.S. House New Mexico District 1,https://ballotpedia.org/New_Mexico's_1st_Congressional_District,Melanie Ann Stansbury,Democratic
U.S. House New Mexico District 2,https://ballotpedia.org/New_Mexico's_2nd_Congressional_District,Gabriel Vasquez,Democratic
U.S. House New Mexico District 3,https://ballotpedia.org/New_Mexico's_3rd_Congressional_District,Teresa Leger Fernandez,Democratic
U.S. House New York District 1,https://ballotpedia.org/New_York's_1st_Congressional_District,Nicholas J. LaLota,Republican
U.S. House New York District 2,https://ballotpedia.org/New_York's_2nd_Congressional_District,Andrew Garbarino,Republican
U.S. House New York District 3,https://ballotpedia.org/New_York's_3rd_Congressional_District,George Devolder-Santos,Republican
U.S. House New York District 4,https://ballotpedia.org/New_York's_4th_Congressional_District,Anthony D'Esposito,Republican
U.S. House New York District 5,https://ballotpedia.org/New_York's_5th_Congressional_District,Gregory W. Meeks,Democratic
U.S. House New York District 6,https://ballotpedia.org/New_York's_6th_Congressional_District,Grace Meng,Democratic
